time,D1_old,D2_old,SB_initiation_strain,average_strain_inside_SB,crss_gp_shear,crss_or,epsilon_p_zz,global_strain,global_stress,inside_sb_region,local_crss_dendrite_core,local_crss_interdendrite,local_damage_dendrite_core,local_damage_interdendrite,local_strain_dendrite_core,local_strain_interdendrite,max_crss_shear,min_crss_shear,residual_ssd_1,sb_initiation_old,slip_resistance_1,slip_resistance_gamma,strain_zz_old,w_back,w_front
243.74156229311,0,0,0,0.27279704476507,383.66721578945,57.088599999089,0.25449702087076,0.24600582239125,665.97409828621,0,158.6744262961,222.90354770342,0.31577542907719,0.42823103507254,0.27216176124317,0.27343232828698,383.66721578945,325.9663990251,201.39969907159,0,58.370631808904,171.20594816867,0.23808373427978,6.1783856793406,7.6544206136881
243.86943869134,0,0,0,0.27308567579191,383.66721578945,57.088599999089,0.25465353266785,0.24613517100316,665.93274623903,0,158.66930323138,222.89175625608,0.31592997513898,0.42845304921476,0.27244712060008,0.27372423098374,383.66721578945,325.9663990251,201.39969907159,0,58.370783602249,171.19925675179,0.23836257299955,6.1787646741644,7.6555757001834
243.99731508958,0,0,0,0.27324534933635,383.66721578945,57.088599999089,0.25481000755767,0.24626341489629,665.70504122464,0,158.66648045925,222.8852667074,0.31608397587478,0.42867498992602,0.27260527940172,0.27388541927098,383.66721578945,325.9663990251,201.39969907159,0,58.370934935084,171.19557416795,0.23851605079509,6.1791327411581,7.6567132305359
244.13797912765,0,0,0,0.27340161333257,383.66721578945,57.088599999089,0.25498218585312,0.24640538232538,665.81558351679,0,158.66366523041,222.87877901143,0.31625382303617,0.4289191344218,0.27275783405347,0.27404539261166,383.66721578945,325.9663990251,201.39969907159,0,58.371100872563,171.19189268133,0.23866951030364,6.1795458562967,7.657978150249
244.29270956951,0,0,0,0.27357909594139,383.66721578945,57.088599999089,0.2551715433993,0.24656071462268,665.70504535581,0,158.66055631309,222.87164184385,0.31644033195982,0.42918747136897,0.27293583108196,0.27422236080081,383.66721578945,325.9663990251,201.39969907159,0,58.371282909113,171.18784254286,0.23883837042012,6.1799900401756,7.6593543279116
244.46291305557,0,0,0,0.27376976141636,383.66721578945,57.088599999089,0.25537981332858,0.24673169113783,665.81707833266,0,158.65714365081,222.8637973887,0.31664591841213,0.42948248751486,0.2731243287111,0.27441519412163,383.66721578945,325.9663990251,201.39969907159,0,58.371482360972,171.18338875023,0.2390240308718,6.1804932851764,7.6608834320034
244.65013689023,0,0,0,0.2739832088366,383.66721578945,57.088599999089,0.2556088843737,0.24691972637869,665.72896177911,0,158.65338253851,222.85517456011,0.31687126790619,0.42980680763934,0.27333838108281,0.27462803659039,383.66721578945,325.9663990251,201.39969907159,0,58.371700790464,171.1784910008,0.23922821456598,6.1810405877686,7.6625589460408
244.85608310836,0,0,0,0.27421323887582,383.66721578945,57.088599999089,0.25586100096934,0.24712758370912,665.71803188278,0,158.64926215184,222.84569385544,0.3171200567102,0.43016375413773,0.27356446224546,0.27486201550617,383.66721578945,325.9663990251,201.39969907159,0,58.371940128066,171.17310538583,0.23945277309276,6.1816340995441,7.6643996017989
245.0826239483,0,0,0,0.2744736275548,383.66721578945,57.088599999089,0.256138365796,0.24735556238074,665.75333127179,0,158.64469481424,222.83526006487,0.31739399491227,0.43055637331539,0.27382516529232,0.27512208981728,383.66721578945,325.9663990251,201.39969907159,0,58.372202641637,171.16717900974,0.23970001255863,6.1822963802864,7.6664297545708
245.33181887223,0,0,0,0.27475734611589,383.66721578945,57.088599999089,0.25644367512087,0.24760718864433,665.6921675936,0,158.63968099644,222.82378332414,0.3176951185216,0.43098837413192,0.27410775612922,0.27540693610256,383.66721578945,325.9663990251,201.39969907159,0,58.37249026269,171.16066115888,0.239972075091,6.1830247617307,7.6686678935967
245.46887608039,0,0,0,0.27506853662091,383.66721578945,57.088599999089,0.25661162940079,0.24774499033827,665.54533070982,0,158.63417324283,222.81115585119,0.31786039060452,0.43122597023227,0.27441587545269,0.27572119778912,383.66721578945,325.9663990251,201.39969907159,0,58.372647803462,171.15348827132,0.24027154252625,6.1834225277627,7.6698924697923
245.60593328856,0,0,0,0.27523773176081,383.66721578945,57.088599999089,0.25677953346761,0.24788238864382,665.51715902146,0,158.63114329093,222.80421049873,0.31802613994428,0.4314632302377,0.27458235542156,0.27589310810005,383.66721578945,325.9663990251,201.39969907159,0,58.372804659239,171.14954290121,0.24043629526171,6.1838262528365,7.6711205846993
245.75669621754,0,0,0,0.27540979079288,383.66721578945,57.088599999089,0.25696432174008,0.24803475490961,665.483861731,0,158.62810255389,222.79727384481,0.31820798563427,0.43172446568969,0.27475684712562,0.27606273446015,383.66721578945,325.9663990251,201.39969907159,0,58.372976535173,171.14559950123,0.24060089186411,6.1842626851899,7.6724712146475
245.92253543942,0,0,0,0.27559702202048,383.66721578945,57.088599999089,0.25716737513169,0.2481999833956,665.47009463121,0,158.62477223609,222.78963851392,0.31840797227571,0.43201113670846,0.27493962754259,0.27625441649836,383.66721578945,325.9663990251,201.39969907159,0,58.37316507104,171.14125997764,0.24078213944526,6.184751857034,7.6739517574076
246.10495858348,0,0,0,0.27580171448911,383.66721578945,57.088599999089,0.25739082054577,0.24838383805573,665.51474189856,0,158.62110558089,222.78125732985,0.3186277211966,0.43232662633887,0.27514517505469,0.27645825392353,383.66721578945,325.9663990251,201.39969907159,0,58.373371100118,171.13649338418,0.24098113342606,6.1852796529944,7.6755826813288
246.30562404195,0,0,0,0.27602896193884,383.66721578945,57.088599999089,0.25763674833552,0.24858637552449,665.53153004234,0,158.61706991931,222.77203262715,0.3188696800017,0.43267384043993,0.27536945458715,0.27668846929054,383.66721578945,325.9663990251,201.39969907159,0,58.373597224408,171.13124775396,0.24120020304175,6.185863276181,7.677381529328
246.52635604627,0,0,0,0.27628095052096,383.66721578945,57.088599999089,0.25790740226698,0.24880907729369,665.45854092517,0,158.61262731675,222.76188491467,0.31913607014303,0.4330559679222,0.27561983396909,0.27694206707283,383.66721578945,325.9663990251,201.39969907159,0,58.373845497053,171.12547641129,0.24144134034134,6.1864995896552,7.6793540534173
246.76916125102,0,0,0,0.27655822065302,383.66721578945,57.088599999089,0.25820518439843,0.24905360895275,665.51881176522,0,158.6077356202,222.75071241181,0.31942920401696,0.43347618809462,0.27589518939706,0.27722125190899,383.66721578945,325.9663990251,201.39969907159,0,58.374117637591,171.11912679285,0.24170683252891,6.1872089357813,7.6815305894979
246.90270411364,0,0,0,0.27686211408653,383.66721578945,57.088599999089,0.25836903483911,0.24918821168435,665.46770188548,0,158.6023580057,222.73843018344,0.31959024842281,0.43370729159647,0.27619750812263,0.27752672005043,383.66721578945,325.9663990251,201.39969907159,0,58.37426662485,171.11214327244,0.24199889389839,6.1875967857446,7.6827260558507
247.03624697625,0,0,0,0.27702782059528,383.66721578945,57.088599999089,0.25853285866982,0.24932231023038,665.35612410203,0,158.59940042419,222.73167277258,0.31975094205996,0.43393817805799,0.27636128643192,0.27769435475865,383.66721578945,325.9663990251,201.39969907159,0,58.374415106277,171.10830097291,0.24215957732124,6.1879931187372,7.6839269801195
247.18314412513,0,0,0,0.27719220073913,383.66721578945,57.088599999089,0.25871314738437,0.24947072696395,665.18701666651,0,158.59644866139,222.72492395276,0.31992729073035,0.43419242752786,0.27652359073441,0.27786081074385,383.66721578945,325.9663990251,201.39969907159,0,58.374577827383,171.10446015036,0.24232017042093,6.1884190880006,7.6852434497844
247.34473098889,0,0,0,0.27737496738592,383.66721578945,57.088599999089,0.2589114235515,0.24963296124341,665.23101391184,0,158.59320095599,222.71749049544,0.32012094926081,0.43447186704854,0.27670188250353,0.27804805226831,383.66721578945,325.9663990251,201.39969907159,0,58.374756436523,171.10023330237,0.24249703430362,6.1888826893803,7.6866804568408
247.52247653903,0,0,0,0.27757443413345,383.66721578945,57.088599999089,0.25912948447322,0.24981142429369,665.34311808181,0,158.5896291736,222.70931787454,0.3203331394539,0.43477893983681,0.27689880470841,0.27825006355849,383.66721578945,325.9663990251,201.39969907159,0,58.374952017471,171.09558540463,0.24269151633847,6.1894048690614,7.6882734148236
247.71799664418,0,0,0,0.27779206365045,383.66721578945,57.088599999089,0.2593695651872,0.25000939852201,665.29558199752,0,158.58571548711,222.7003387629,0.32056675356651,0.43511718152253,0.27711214941376,0.27847197788715,383.66721578945,325.9663990251,201.39969907159,0,58.375166343155,171.09047475668,0.24290531336348,6.1899713435934,7.6900277347255
247.93306875985,0,0,0,0.27803797203884,383.66721578945,57.088599999089,0.2596335990444,0.25022550414143,665.22744455886,0,158.58138544587,222.69045018971,0.32082463748801,0.4354887354788,0.27735458447071,0.27872135960697,383.66721578945,325.9663990251,201.39969907159,0,58.375401620321,171.08484920285,0.24314087504423,6.1906070034759,7.6919600283245
248.16964808708,0,0,0,0.27830798864632,383.66721578945,57.088599999089,0.2599240550501,0.25046349987226,665.00583946566,0,158.57660412155,222.6795880092,0.3211072488223,0.43589739054254,0.27762611131878,0.27898986597387,383.66721578945,325.9663990251,201.39969907159,0,58.375658961502,171.07866417124,0.24339976108119,6.1912889287256,7.6940699279591
248.29976671706,0,0,0,0.27860015172197,383.66721578945,57.088599999089,0.26008385753124,0.250594504528,665.19650490732,0,158.57137056586,222.66764379096,0.32126345129352,0.43612218858904,0.2779124330113,0.27928787043264,383.66721578945,325.9663990251,201.39969907159,0,58.375799855353,171.07186235015,0.2436845959742,6.1916707814313,7.6952378085993
248.42988534704,0,0,0,0.2787663231602,383.66721578945,57.088599999089,0.26024369840392,0.25072571001061,665.10080566021,0,158.56847006235,222.66107057354,0.32141964646841,0.43634698441053,0.27808075651983,0.27945188980056,383.66721578945,325.9663990251,201.39969907159,0,58.37594023919,171.06812023785,0.24384134083892,6.1920476383162,7.6964018983799
248.57301584001,0,0,0,0.27892902219857,383.66721578945,57.088599999089,0.26041953568819,0.25086979266903,665.05109231524,0,158.56558176238,222.65449838875,0.3215913425227,0.43659424489737,0.27824203105375,0.2796160133434,383.66721578945,325.9663990251,201.39969907159,0,58.376094347874,171.06437770076,0.24399811876228,6.1924602790078,7.697679035022
248.73045938229,0,0,0,0.27910740963773,383.66721578945,57.088599999089,0.26061291893658,0.25102789903026,665.14615588999,0,158.56240796995,222.64727064365,0.32178104309497,0.43686601502466,0.27841828476083,0.27979653451462,383.66721578945,325.9663990251,201.39969907159,0,58.376263359167,171.06026175055,0.24417059600834,6.1929273098503,7.6990947040318
248.90364727879,0,0,0,0.27930725379148,383.66721578945,57.088599999089,0.26082574671317,0.25120282663946,665.03793752528,0,158.5588999186,222.6393263911,0.32198910700404,0.43716499386682,0.27862083409903,0.27999367348393,383.66721578945,325.9663990251,201.39969907159,0,58.376448540336,171.05573637966,0.24436024276854,6.1934254591432,7.70064241898
249.09415396494,0,0,0,0.27952199024194,383.66721578945,57.088599999089,0.26105990675034,0.25139479469938,665.02596198698,0,158.55506112152,222.63058687677,0.32221767146347,0.43749388078993,0.27883149366104,0.28021248682284,383.66721578945,325.9663990251,201.39969907159,0,58.376651820495,171.05075636367,0.24456892718413,6.1939752105475,7.7023439787438
249.30371131971,0,0,0,0.27975944089837,383.66721578945,57.088599999089,0.26131747769574,0.25160558365014,665.04766373267,0,158.55083655279,222.62097178364,0.32246967807596,0.43785559917557,0.27906585440497,0.28045302739176,383.66721578945,325.9663990251,201.39969907159,0,58.376874626387,171.04527902134,0.24479857254948,6.1945891798789,7.7042226817797
